Date,Price,Open,High,Low,Volume,Close
12-01-2020,18770.70,19697.80,19897.40,18257.00,5464420383.00,19077.20
11/30/2020,19698.10,18186.00,19831.20,18186.00,5002961727.00,19008.60
11/29/2020,18185.50,17729.70,18336.30,17530.40,5955691380.00,17933.35
11/28/2020,17730.70,17142.60,17874.40,16874.40,5582489560.00,17374.40
11/27/2020,17127.10,17160.90,17450.30,16481.60,5004347059.00,16965.95
11/26/2020,17162.00,18721.90,18894.90,16235.20,5313623556.00,17565.05
11/25/2020,18723.00,19151.50,19486.70,18527.70,5433755649.00,19007.20
11/24/2020,19152.60,18394.60,19416.60,18074.80,5262869046.00,18745.70
11/23/2020,18379.60,18428.10,18756.80,18016.00,5265847539.00,18386.40
11/22/2020,18412.90,18689.30,18751.50,17644.60,5098183235.00,18198.05
11/21/2020,18687.20,18673.80,18966.00,18397.50,5570752966.00,18681.75
11/20/2020,18675.20,17805.50,18811.00,17758.40,6908930483.00,18284.70
11/19/2020,17803.50,17775.10,18166.00,17380.10,5897159493.00,17773.05
11/18/2020,17774.60,17662.30,18466.10,17258.90,5955112627.00,17862.50
11/17/2020,17662.30,16715.80,17845.40,16562.00,5831198271.00,17203.70
11/16/2020,16715.80,15954.10,16880.70,15870.70,5422926707.00,16375.70
11/15/2020,15953.00,16074.70,16158.10,15782.30,5071623601.00,15970.20
11/14/2020,16071.00,16323.10,16328.20,15717.70,5043937584.00,16022.95
11/13/2020,16324.20,16293.00,16474.10,15973.40,5332718886.00,16223.75
11-12-2020,16294.70,15695.80,16342.70,15483.50,5227549545.00,15913.10
11-11-2020,15695.80,15303.10,15953.90,15281.00,5482196038.00,15617.45
11-10-2020,15303.60,15328.00,15465.30,15096.50,5004962683.00,15280.90
11-09-2020,15327.20,15483.30,15819.60,14816.90,7735623101.00,15318.25
11-08-2020,15483.70,14826.60,15648.30,14720.70,6158833645.00,15184.50
11-07-2020,14828.40,15578.20,15754.40,14385.10,6282256903.00,15069.75
11-06-2020,15577.90,15593.90,15955.20,15223.50,6277056434.00,15589.35
11-05-2020,15587.10,14145.60,15739.90,14099.70,6480384532.00,14919.80
11-04-2020,14145.60,14023.00,14238.80,13544.40,6438903823.00,13891.60
11-03-2020,14019.90,13560.50,14054.00,13294.60,6271044418.00,13674.30
11-02-2020,13561.40,13759.70,13828.40,13214.20,6091952231.00,13521.30
11-01-2020,13759.40,13795.50,13889.50,13628.70,5934744052.00,13759.10
10/31/2020,13797.30,13560.20,14065.40,13441.70,7039512503.00,13753.55
10/30/2020,13559.90,13457.00,13667.90,13134.50,9908216640.00,13401.20
10/29/2020,13457.20,13278.30,13640.00,12982.90,9933626655.00,13311.45
10/28/2020,13278.90,13658.30,13851.70,12907.60,8693373948.00,13379.65
10/27/2020,13657.80,13061.50,13782.30,13050.30,7775128102.00,13416.30
10/26/2020,13061.60,13033.00,13229.70,12792.40,7826525254.00,13011.05
10/25/2020,13032.20,13117.00,13345.30,12900.40,8922258316.00,13122.85
10/24/2020,13117.20,12933.60,13161.50,12876.40,10794227451.00,13018.95
10/23/2020,12934.10,12972.70,13025.50,12738.90,9318796067.00,12882.20
